dimension,n_item,corr_poetic,p_value,pct change
FAMILIARITY,194,0.2203306804339159,0.002021565247731667,23.691807169025612
MEANINGFULNESS,204,0.29199983663520535,2.2583315173721005e-05,21.853727401616123
BODY_RELATEDNESS,64,0.6446584820099297,8.994004902749437e-09,-20.40045093933695
DIFFICULTY,80,0.10030005767193938,0.3760342686556606,5.347776363283271
PHISICALITY,42,-0.02683705037397687,0.8660283340241595,-105.67316018870217
IMAGEABILITY,42,0.24017208644307547,0.12551192869636105,-50.86846298694956
