FAMILIARITY_human,DIFFICULTY_human,MEANINGFULNESS_human,BODY_RELATEDNESS_human,PHISICALITY_human,IMAGEABILITY_human
3.692307692,2.166666667,5.333333333,,,
4.5,1.857142857,5.5,,,
2.230769231,2.5,3.166666667,,,
4.653846154,2.666666667,5.423076923,,,
3.769230769,2.0,5.461538462,,,
1.846153846,1.661576262,4.038461538,,,
5.807692308,1.44,3.576923077,,,
4.538461538,2.601760771,6.0,,,
3.730769231,2.04,5.230769231,,,
3.423076923,1.52,3.423076923,,,
5.807692308,1.72,6.346153846,,,
5.958333333,1.832934346,5.0,,,
4.083333333,1.166666667,4.846153846,,,
2.916666667,1.779261736,5.153846154,,,
2.083333333,1.520896272,6.346153846,,,
3.5,1.823405382,6.083333333,,,
5.166666667,1.512885866,5.041666667,,,
3.1,1.788815891,4.0,,,
3.857142857,1.75698866,2.916666667,,,
1.0,1.471283512,3.416666667,,,
2.0,2.106450938,6.208333333,,,
2.2,1.232154724,2.625,,,
2.333333333,1.297684404,5.333333333,,,
2.111111111,2.303231934,5.291666667,,,
1.6,1.285251441,3.208333333,,,
4.166666667,1.796227716,4.208333333,,,
2.833333333,1.452827391,5.166666667,,,
2.888888889,1.825789562,3.0,,,
3.0,2.08,4.0,,,
2.333333333,1.32,2.777777778,,,
1.428571429,1.36,2.857142857,,,
4.2,1.84,3.666666667,,,
2.0,1.76,3.5,,,
1.0,2.12,2.333333333,,,
2.571428571,1.92,2.888888889,,,
1.333333333,2.24,3.833333333,,,
3.833333333,2.32,2.666666667,,,
4.1,1.72,3.666666667,,,
2.8,2.12,4.166666667,,,
3.166666667,2.28,3.5,,,
4.166666667,1.8,2.5,,,
3.9,1.8,4.555555556,,,
2.428571429,2.68,3.714285714,,,
3.333333333,,2.888888889,,,
4.0,,2.666666667,,,
1.8,,2.333333333,,,
1.571428571,,4.0,,,
4.166666667,,3.777777778,,,
1.888888889,,3.833333333,,,
2.7,,3.166666667,,,
2.9,,3.5,,,
3.444444444,,4.166666667,,,
3.333333333,,3.666666667,,,
1.428571429,,4.0,,,
2.666666667,,3.333333333,,,
2.666666667,,3.166666667,,,
1.1,,3.0,,,
2.0,,3.857142857,,,
3.7,,3.333333333,,,
2.16,,2.5,,,
4.214668246,,3.222222222,,,
1.92,,3.5,,,
3.008880807,,4.285714286,,,
3.392239122,,2.833333333,,,
3.050716682,,2.666666667,,,
2.76,,3.571428571,,,
4.16,,2.444444444,,,
3.12,,3.0,,,
3.08,,2.666666667,,,
2.44,,3.677834219,,,
2.16,,4.4,,,
2.6,,3.046436923,,,
2.4,,3.52,,,
3.28,,4.24,,,
1.44,,3.92,,,
3.24,,4.004521926,,,
3.16,,4.708333333,,,
2.48,,4.018572225,,,
3.92,,4.249323768,,,
3.32,,3.80090779,,,
2.4,,4.161531838,,,
2.92,,3.608386897,,,
2.362551334,,4.486869967,,,
2.963944999,,4.155658513,,,
3.766141671,,3.247649599,,,
4.005996436,,4.401423306,,,
2.565550052,,4.118086965,,,
2.846004042,,3.720776324,,,
3.483036554,,4.563920217,,,
2.688900579,,3.964222151,,,
2.415821073,,4.206424343,,,
2.957454602,,4.200822272,,,
3.096103082,,4.28,,,
2.689207632,,4.16,,,
3.375807662,,4.48,,,
3.291668575,,4.08,,,
2.930193941,,3.56,,,
4.866666667,,3.56,,,
4.6,,3.64,,,
2.6,,3.4,,,
2.933333333,,3.12,,,
4.6,,3.48,,,
5.466666667,,3.68,,,
5.133333333,,2.96,,,
4.933333333,,3.92,,,
3.2,,3.92,,,
3.133333333,,3.4,,,
2.933333333,,5.655172414,,,
4.333333333,,6.137931034,,,
4.666666667,,4.413793103,,,
4.2,,4.137931034,,,
5.066666667,,5.655172414,,,
4.3,,6.448275862,,,
5.3,,6.344827586,,,
5.366666667,,6.206896552,,,
3.9,,3.931034483,,,
5.166666667,,4.0,,,
5.7,,3.689655172,,,
4.5,,6.068965517,,,
5.7,,6.137931034,,,
3.6,,5.103448276,,,
4.633333333,,6.24137931,,,
4.466666667,,4.966666667,,,
6.366666667,,5.633333333,,,
4.066666667,,5.833333333,,,
5.466666667,,4.633333333,,,
