dataset,dimension,human_col,synth_col,n_annot1,spearman_r_annot1,pval_annot1,n_mean,spearman_r_mean,pval_mean
MB,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,23,0.08264838768612646,0.7077302489548261,23,0.17343958093660747,0.428694899149926
MB,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,59,0.12703308123550172,0.337672714028707,59,0.13594124487693537,0.3046002126013808
MB,BODY_RELATEDNESS,BODY_RELATEDNESS_human,BODY_RELATEDNESS_synthetic,64,0.7831455092220644,2.0605390150552757e-14,64,0.7844613447777652,1.7429205182623328e-14
ME,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,32,0.09267226548325369,0.6139351736842655,32,0.18529694423936996,0.3099527254231798
ME,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,38,0.03240142018115711,0.8468695861450506,38,0.09874780446472253,0.5553029585618972
ME,DIFFICULTY,DIFFICULTY_human,DIFFICULTY_synthetic,34,0.0970436682429298,0.5850776752289044,34,0.12167333016629445,0.49303622350568255
MI,PHISICALITY,PHISICALITY_human,PHISICALITY_synthetic,15,0.4905429361584376,0.06337622553650338,15,0.7048311814666258,0.0033421690929840903
MI,IMAGEABILITY,IMAGEABILITY_human,IMAGEABILITY_synthetic,40,0.14929099823557337,0.35787296196904017,40,0.29036196283706006,0.06913151443214617
MM,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,60,-0.017310622605178308,0.8955564818087163,60,0.042675005960289863,0.7461249932186331
MM,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,60,0.009833888690608701,0.9405549600360279,60,-0.032360014794545325,0.8061072678741554
